candidate_id,rank,score,reasoning
CAND_0081846,1,0.759,"Lead AI Engineer with 6.7 yrs exp. skills: Embeddings, Information Retrieval, Qdrant. product-company background in Fintech. strong production deployment evidence. good response rate (73%). based in Jaipur, Rajasthan. actively open to work. notice ≤30 days."
CAND_0079387,2,0.7556,"AI Engineer with 6.9 yrs exp. skills: Sentence Transformers, Vector Search, OpenSearch. product-company background in EdTech. strong production deployment evidence. excellent recruiter response rate (81%). strong GitHub activity (64.1/100). based in Trivandrum, Kerala. actively open to work. notice ≤30 days."
CAND_0077337,3,0.7492,"Staff Machine Learning Engineer with 7.0 yrs exp. skills: Sentence Transformers, Semantic Search, Information Retrieval. strong production deployment evidence. excellent recruiter response rate (95%). strong GitHub activity (68.0/100). based in Kochi, Kerala. actively open to work."
CAND_0011687,4,0.746,"Senior NLP Engineer with 7.8 yrs exp. skills: Embeddings, Weaviate, Semantic Search. strong production deployment evidence. excellent recruiter response rate (89%). strong GitHub activity (76.3/100). based in Indore, Madhya Pradesh. actively open to work. notice ≤30 days."
CAND_0018499,5,0.7428,"Senior Machine Learning Engineer with 7.2 yrs exp. skills: Embeddings, Weaviate, Milvus. product-company background in E-commerce. strong production deployment evidence. good response rate (61%). strong GitHub activity (94.8/100). based in Noida, Uttar Pradesh. actively open to work. notice ≤30 days."
CAND_0041669,6,0.7356,"Recommendation Systems Engineer with 8.0 yrs exp. skills: Semantic Search, FAISS, Milvus. strong production deployment evidence. good response rate (77%). strong GitHub activity (70.9/100). based in Noida, Uttar Pradesh. actively open to work."
CAND_0071974,7,0.7321,"Senior AI Engineer with 7.8 yrs exp. skills: Embeddings, Sentence Transformers, Pinecone. strong production deployment evidence. good response rate (76%). strong GitHub activity (82.8/100). based in Vizag, Andhra Pradesh. actively open to work."
CAND_0046064,8,0.73,"Senior NLP Engineer with 8.9 yrs exp. skills: Pinecone, Semantic Search, Elasticsearch. product-company background in Internet. strong production deployment evidence. good response rate (78%). strong GitHub activity (67.3/100). based in Coimbatore, Tamil Nadu. actively open to work. notice ≤30 days."
CAND_0098846,9,0.7274,"AI Engineer with 7.6 yrs exp. skills: Qdrant, QLoRA, PEFT. product-company background in Internet. strong production deployment evidence. good response rate (62%). strong GitHub activity (86.2/100). based in Indore, Madhya Pradesh. actively open to work."
CAND_0017960,10,0.727,"Recommendation Systems Engineer with 7.7 yrs exp. skills: Information Retrieval, Qdrant, QLoRA. product-company background in HealthTech AI. strong production deployment evidence. good response rate (72%). strong GitHub activity (92.4/100). based in Bangalore, Karnataka. actively open to work."
